group,glps,system,feed,curr,curr_methane,max,min_emissions,curr_manure
China,3,lgh,grazing,0.003832206,0.473569342,0.007834164,0.389208868,0.148574803
China,2,lgt,grazing,0.006996523,0.438438363,0.011586308,0.36123984,0.137135063
China,1,mra,mixed,0.000605752,0.42171552,0.012661759,0.324063948,0.141962309
China,3,mrh,mixed,0.001948151,0.387411589,0.013545838,0.373537988,0.14857479
China,2,mrt,mixed,0.006996523,0.438438363,0.016562086,0.350701,0.141962332
China,3,urban,other,0.005232426,0.459729019,NA,NA,0.167941374
China,3,other,other,0.005232426,0.459729019,NA,NA,0.137135026
Rest of Centr. America,1,lga,grazing,0.001098855,0.406715352,0.007834164,0.366164174,0.156622305
Rest of Centr. America,3,lgh,grazing,0.002014874,0.389208868,0.007834164,0.389208868,0.148183307
Rest of Centr. America,2,lgt,grazing,0.007657378,0.430304577,0.011586308,0.36123984,0.148874949
Rest of Centr. America,1,mra,mixed,0.00126379,0.436109408,0.012661759,0.324063948,0.143548644
Rest of Centr. America,3,mrh,mixed,0.004191176,0.375814123,0.013545838,0.373537988,0.148183309
Rest of Centr. America,2,mrt,mixed,0.010072685,0.350701,0.016562086,0.350701,0.154390939
Rest of Centr. America,3,urban,other,0.002197413,0.413985589,NA,NA,0.154390963
Rest of Centr. America,3,other,other,0.002197413,0.413985589,NA,NA,0.133990593
Insular SEA,1,lga,grazing,0.00011488,0.440168294,0.007834164,0.366164174,0.141956497
Insular SEA,3,lgh,grazing,0.005348676,0.451221203,0.007834164,0.389208868,0.141956583
Insular SEA,2,lgt,grazing,0.005900307,0.441761354,0.011586308,0.36123984,0.14866655
Insular SEA,1,mra,mixed,0.003068493,0.426429513,0.012661759,0.324063948,0.141956587
Insular SEA,3,mrh,mixed,0.003548346,0.452935421,0.013545838,0.373537988,0.141956527
Insular SEA,2,mrt,mixed,0.004996177,0.452572298,0.016562086,0.350701,0.148666539
Insular SEA,3,urban,other,0.002014874,0.389208868,NA,NA,0.141956593
Insular SEA,3,other,other,0.002014874,0.389208868,NA,NA,0.141956497
Continental SEA,1,lga,grazing,0.00011488,0.440168294,0.007834164,0.366164174,0.16527827
Continental SEA,3,lgh,grazing,0.005348676,0.451221203,0.007834164,0.389208868,0.148574707
Continental SEA,2,lgt,grazing,0.00136153,0.403593746,0.011586308,0.36123984,0.148574744
Continental SEA,1,mra,mixed,0.001899725,0.417264074,0.012661759,0.324063948,0.27695888
Continental SEA,3,mrh,mixed,0.003548346,0.452935421,0.013545838,0.373537988,0.148574725
Continental SEA,2,mrt,mixed,0.002378493,0.458184972,0.016562086,0.350701,0.148574731
Continental SEA,3,urban,other,0.002014874,0.389208868,NA,NA,0.14855502
Continental SEA,3,other,other,0.002014874,0.389208868,NA,NA,0.137135084
South Korea,1,lga,grazing,0.005348676,0.451221203,0.007834164,0.366164174,0.166735778
South Korea,3,lgh,grazing,0.007657378,0.430304577,0.007834164,0.389208868,0.166735778
South Korea,2,lgt,grazing,0.008744845,0.46476577,0.011586308,0.36123984,0.166735778
South Korea,1,mra,mixed,0.007255586,0.437493787,0.012661759,0.324063948,0.166735778
South Korea,3,mrh,mixed,0.01010392,0.410575543,0.013545838,0.373537988,0.166735778
South Korea,2,mrt,mixed,0.012314659,0.450443429,0.016562086,0.350701,0.203057739
South Korea,3,urban,other,0.011694086,0.416689917,NA,NA,0.148574766
South Korea,3,other,other,0.01272646,0.420350701,NA,NA,0.148574827
Japan,1,lga,grazing,0.005348676,0.451221203,0.007834164,0.366164174,0.199509078
Japan,3,lgh,grazing,0.007657378,0.430304577,0.007834164,0.389208868,0.199509078
Japan,2,lgt,grazing,0.008744845,0.46476577,0.011586308,0.36123984,0.223247918
Japan,1,mra,mixed,0.007255586,0.437493787,0.012661759,0.324063948,0.199509078
Japan,3,mrh,mixed,0.01010392,0.410575543,0.013545838,0.373537988,0.206340429
Japan,2,mrt,mixed,0.01337604,0.393781644,0.016562086,0.350701,0.189318949
Japan,3,urban,other,0.012747228,0.419618778,NA,NA,0.189319078
Japan,3,other,other,0.013778934,0.408759006,NA,NA,0.189319015
Pacific islands,1,lga,grazing,0.00236994,0.423782634,0.007834164,0.366164174,0.147074691
Pacific islands,3,lgh,grazing,0.00236994,0.423782634,0.007834164,0.389208868,0.148183307
Pacific islands,2,lgt,grazing,0.00236994,0.423782634,0.011586308,0.36123984,0.148874949
Pacific islands,1,mra,mixed,0.00236994,0.423782634,0.012661759,0.324063948,0.147074691
Pacific islands,3,mrh,mixed,0.00236994,0.423782634,0.013545838,0.373537988,0.148183309
Pacific islands,2,mrt,mixed,0.00236994,0.423782634,0.016562086,0.350701,0.147074691
Pacific islands,3,urban,other,0.00236994,0.423782634,NA,NA,0.156141297
Pacific islands,3,other,other,0.00236994,0.423782634,NA,NA,0.133990593
Turkey,1,lga,grazing,0.00011488,0.440168294,0.007834164,0.366164174,0.140584503
Turkey,3,lgh,grazing,0.005348676,0.451221203,0.007834164,0.389208868,0.141080124
Turkey,2,lgt,grazing,0.005364076,0.421689476,0.011586308,0.36123984,0.140584566
Turkey,1,mra,mixed,0.006600778,0.371716962,0.012661759,0.324063948,0.140584515
Turkey,3,mrh,mixed,0.009460459,0.409112906,0.013545838,0.373537988,0.144053624
Turkey,2,mrt,mixed,0.009233421,0.414543962,0.016562086,0.350701,0.14058454
Turkey,3,urban,other,0.005403397,0.370761481,NA,NA,0.140584556
Turkey,3,other,other,0.004008931,0.395028211,NA,NA,0.140584561
Canada,1,lga,grazing,0.004903276,0.409250651,0.007834164,0.366164174,0.151851374
Canada,3,lgh,grazing,0.005377921,0.412233139,0.007834164,0.389208868,0.148183307
Canada,2,lgt,grazing,0.002708461,0.36123984,0.011586308,0.36123984,0.148874949
Canada,1,mra,mixed,0.009706344,0.413450114,0.012661759,0.324063948,0.151851374
Canada,3,mrh,mixed,0.008607387,0.402439624,0.013545838,0.373537988,0.148183309
Canada,2,mrt,mixed,0.010381915,0.413697564,0.016562086,0.350701,0.175734791
Canada,3,urban,other,0.006797594,0.415675985,NA,NA,0.156141297
Canada,3,other,other,0.006797594,0.415675985,NA,NA,0.133990593
India,1,lga,grazing,0.00011488,0.440168294,0.007834164,0.366164174,0.141999706
India,3,lgh,grazing,0.00011488,0.440168294,0.007834164,0.389208868,0.144723744
India,2,lgt,grazing,0.005348676,0.451221203,0.011586308,0.36123984,0.141999794
India,1,mra,mixed,0.000551889,0.387265121,0.012661759,0.324063948,0.141999719
India,3,mrh,mixed,0.003045288,0.404058598,0.013545838,0.373537988,0.144723744
India,2,mrt,mixed,0.003045288,0.404058598,0.016562086,0.350701,0.14199979
India,3,urban,other,0.00236994,0.423782634,NA,NA,0.141999752
India,3,other,other,0.00236994,0.423782634,NA,NA,0.133990593
