ADM0_A3,Demand,source,SSP1-NoCC2010,SSP1-NoCC2030,SSP1-NoCC2050,SSP2-NoCC2010,SSP2-NoCC2030,SSP2-NoCC2050,SSP3-NoCC2010,SSP3-NoCC2030,SSP3-NoCC2050
PCN,10,observed,0,0,0,0,0,0,0,0,0
UMI,10,observed,0,0,0,0,0,0,0,0,0
CSI,10,observed,0,0,0,0,0,0,0,0,0
ATF,2.9726811,observed,0,0,0,0,0,0,0,0,0
PGA,0.703206096,observed,0,0,0,0,0,0,0,0,0
SGS,0.327408798,observed,0,0,0,0,0,0,0,0,0
HMD,0,predicted,0,0,0,0,0,0,0,0,0
CLP,0,predicted,0,0,0,0,0,0,0,0,0
ATC,0,predicted,0,0,0,0,0,0,0,0,0
BJN,0,predicted,0,0,0,0,0,0,0,0,0
SER,0,predicted,0,0,0,0,0,0,0,0,0
SCR,0,predicted,0,0,0,0,0,0,0,0,0
